,stock,last_price,atm_call_price,atm_put_price,straddle_yield,log_r,pos_log,neg_log,pos_periods,ttl_periods,avg_yield,vol_rank,lr_rank,sharpe,winr
0,AMLP,38.84999847412109,0.825,0.3,0.02922077922077922,-0.43921377554122826,1.0627870647524396,-1.5020008402936678,70,118,-0.0037221506401799004,0.3693181818181818,0.8977272727272727,0.7075808722880913,0.5932203389830508
1,ARKF,20.270000457763672,0.8,0.55,0.0675,1.0918002389705488,1.8531592705394717,-0.7613590315689228,49,62,0.01760968127371853,0.7311827956989247,0.967741935483871,2.434014957070503,0.7903225806451613
2,ARKG,40.459999084472656,1.5499999999999998,1.1,0.06625,1.30422277237375,2.7348832429577348,-1.4306604705839847,82,116,0.011243299761842672,0.9318181818181818,0.2784090909090909,1.911622847761619,0.7068965517241379
3,ARKK,49.93000030517578,1.96,1.49,0.0696969696969697,2.104704430053445,3.25728413100101,-1.1525797009475642,89,119,0.017686591849188617,0.8693181818181818,0.9772727272727273,2.8260814660566345,0.7478991596638656
4,ASHR,31.559999465942383,0.42,0.365,0.02492063492063492,-0.9052332034236487,0.6090115129839239,-1.5142447164075725,50,116,-0.007803734512272833,0.9659090909090909,0.5625,0.4021883031091277,0.43103448275862066
5,BITO,14.970000267028809,0.835,0.405,0.08551724137931034,-0.12339594861338497,0.2661489393808001,-0.3895448879941851,6,12,-0.010282995717782082,0.9090909090909091,0.45454545454545453,0.6832304763418511,0.5
6,BKLN,21.440000534057617,0.325,0.1,0.02023809523809524,1.3349856666813227,1.4043888104593578,-0.06940314377803519,112,122,0.010942505464601005,0.9772727272727273,0.7954545454545454,20.2352333627835,0.9180327868852459
7,DIA,333.760009765625,2.965,2.64,0.016831831831831835,-0.2718261564370483,0.5597427853017937,-0.831568941738842,62,115,-0.0023637057081482464,0.2840909090909091,0.8977272727272727,0.6731165117005818,0.5391304347826087
8,DUST,21.51000022888184,1.025,0.975,0.09302325581395349,-4.055245854205822,2.4315359257034856,-6.4867817799093075,55,107,-0.03789949396454039,0.8863636363636364,0.1590909090909091,0.374844723963796,0.514018691588785
9,EEM,40.63999938964844,0.48,0.335,0.020123456790123454,-0.7637641410152513,0.6125902114727381,-1.376354352487989,55,115,-0.006641427313176098,0.022727272727272728,0.5454545454545454,0.445081755556176,0.4782608695652174
