,date,event,date0,week,year,week_of_year
2,2013-02-01,Non Farm Payrolls JAN 2013,9:30 AM,5,2013,201305
4,2013-02-25,Fed Lockhart speech ,8:00 PM,9,2013,201309
6,2013-02-26,Consumer Confidence,11:00 AM,9,2013,201309
8,2013-02-27,Fed Richard Fisher speech ,5:30 PM,9,2013,201309
10,2013-02-28,Continuing Jobless Claims,9:30 AM,9,2013,201309
11,2013-02-28,FOMC Member Raskin Speech ,1:30 PM,9,2013,201309
12,2013-02-28,Fed Evans Speech ,9:00 PM,9,2013,201309
14,2013-03-01,Personal Spending MoM,9:30 AM,9,2013,201309
15,2013-03-01,ISM Prices Paid,11:00 AM,9,2013,201309
17,2013-03-04,FOMC Member Yellen Speech ,9:00 AM,10,2013,201310
18,2013-03-04,ISM New York index FEB 2013,10:45 AM,10,2013,201310
20,2013-03-05,ISM Non-Manufacturing PMI FEB 2013,11:00 AM,10,2013,201310
22,2013-03-06,Philadelphia Fed Plosser speech ,9:15 AM,10,2013,201310
24,2013-03-08,Non Farm Payrolls FEB 2013,9:30 AM,10,2013,201310
26,2013-03-13,Retail Sales MoM FEB 2013,8:30 AM,11,2013,201311
28,2013-03-14,Continuing Jobless Claims 04/MAR-08/MAR,8:30 AM,11,2013,201311
30,2013-03-15,Inflation Rate MoM FEB 2013,8:30 AM,11,2013,201311
31,2013-03-15,Consumer Price Index Ex Food & Energy (MoM) FEB 2013,8:30 AM,11,2013,201311
32,2013-03-15,Consumer Price Index Ex Food & Energy (YoY) FEB 2013,8:30 AM,11,2013,201311
33,2013-03-15,Inflation Rate YoY FEB 2013,8:30 AM,11,2013,201311
35,2013-03-26,Durable Goods Orders MoM FEB 2013,8:30 AM,13,2013,201313
37,2013-03-28,GDP Price Index Q4 2013,8:30 AM,13,2013,201313
38,2013-03-28,Continuing Jobless Claims MAR 17,8:30 AM,13,2013,201313
40,2013-03-29,Personal Spending MoM FEB 2013,8:30 AM,13,2013,201313
42,2013-04-01,ISM Prices Paid MAR 2013,10:00 AM,14,2013,201314
44,2013-04-02,ISM New York index MAR 2013,10:45 AM,14,2013,201314
46,2013-04-03,ISM Non-Manufacturing PMI MAR 2013,11:00 AM,14,2013,201314
48,2013-04-05,Balance of Trade FEB 2013,9:30 AM,14,2013,201314
49,2013-04-05,Non Farm Payrolls MAR 2013,9:30 AM,14,2013,201314
51,2013-04-10,Federal Budget Balance MAR 2013,3:00 PM,15,2013,201315
53,2013-04-11,Continuing Jobless Claims 25/MAR-29/MAR,9:30 AM,15,2013,201315
55,2013-04-12,Retail Sales MoM MAR 2013,9:30 AM,15,2013,201315
56,2013-04-12,Reuters/Michigan Consumer Sentiment Index APR 2013,10:55 AM,15,2013,201315
58,2013-04-16,Inflation Rate MoM MAR 2013,9:30 AM,16,2013,201316
59,2013-04-16,Inflation Rate YoY MAR 2013,9:30 AM,16,2013,201316
61,2013-04-17,Fed Beige Book,3:00 PM,16,2013,201316
63,2013-04-18,Continuing Jobless Claims 01/APR-05/APR,9:30 AM,16,2013,201316
65,2013-04-24,Durable Goods Orders MoM MAR 2013,9:30 AM,17,2013,201317
66,2013-04-24,Core Durable Goods Orders MoM MAR 2013,9:30 AM,17,2013,201317
68,2013-04-25,Continuing Jobless Claims 8/APR-13/APR,9:30 AM,17,2013,201317
70,2013-05-01,Fed Monetary Policy Statement and press conference,3:00 PM,18,2013,201318
72,2013-05-02,Continuing Jobless Claims 15/APR-19/APR,9:30 AM,18,2013,201318
73,2013-05-02,Balance of Trade MAR 2013,9:30 AM,18,2013,201318
74,2013-05-02,ISM New York index APR 2013,10:45 AM,18,2013,201318
76,2013-05-03,Non Farm Payrolls APR 2013,9:30 AM,18,2013,201318
77,2013-05-03,ISM Non-Manufacturing PMI APR 2013,11:00 AM,18,2013,201318
79,2013-05-09,Continuing Jobless Claims 20/APR-26/APR,9:30 AM,19,2013,201319
81,2013-05-13,Retail Sales MoM APR 2013,9:30 AM,20,2013,201320
83,2013-05-16,Inflation Rate YoY APR 2013,9:30 AM,20,2013,201320
84,2013-05-16,Continuing Jobless Claims 29/APR-03/MAY,9:30 AM,20,2013,201320
86,2013-05-22,FOMC Minutes,3:00 PM,21,2013,201321
88,2013-05-23,Continuing Jobless Claims 06/MAY-10/MAY,9:30 AM,21,2013,201321
