,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,37.81999969482422,37.5,0.8,0.73,0.2304764453125,0.44336494140625
1,ARKF,20.280000686645508,20.0,0.98,0.79,0.5419967675781252,0.561527822265625
2,ARKG,40.38999938964844,40.0,1.75,1.6,0.5249070947265625,0.50586431640625
3,ARKK,50.06999969482422,50.0,2.22,2.18,0.56055126953125,0.569340244140625
4,ASHR,31.219999313354492,31.0,0.61,0.42,0.22754678710937498,0.23584748535156247
5,BITO,14.170000076293945,14.0,0.83,0.7,0.69336244140625,0.710940390625
6,BKLN,21.25,21.0,0.3,0.12,0.1211025390625,0.15528188476562502
7,DIA,327.9700012207031,327.5,3.78,3.75,0.14490601196289063,0.16529155029296877
8,DUST,22.190000534057617,22.0,2.03,1.06,0.7841818457031251,0.7929708203125
9,EEM,40.060001373291016,40.0,0.57,0.59,0.18555501953124998,0.23633576171874998
10,EFA,65.01000213623047,65.0,0.89,0.83,0.1821370849609375,0.1801839794921875
11,EMB,88.47000122070312,88.0,1.15,0.64,0.13721565917968753,0.14331911376953127
12,ERX,48.0,48.0,3.28,2.32,0.7158231542968749,0.6806672558593752
13,EWJ,55.310001373291016,55.0,0.93,0.56,0.18457846679687498,0.17285983398437502
14,EWU,30.639999389648438,30.0,0.65,0.25,0.22071091796874998,0.23731231445312498
15,EWW,45.34000015258789,45.0,1.05,0.6,0.260749580078125,0.2436599072265625
16,EWY,60.72999954223633,60.0,1.58,0.8,0.2651440673828125,0.2500075
17,EWZ,29.75,29.5,0.9,0.65,0.34961587890624996,0.3364324169921875
18,FAS,76.23999786376953,76.0,3.5,3.1,0.5766643896484375,0.5708050732421875
19,FAZ,23.010000228881836,23.0,1.3,0.95,0.567387138671875,0.5732464550781251
20,FEZ,36.47999954223633,36.0,1.26,0.55,0.2778392529296875,0.270515107421875
21,FXE,94.05999755859375,94.0,0.79,0.7,0.10474528076171874,0.09253837158203124
22,FXI,30.139999389648438,30.0,0.73,0.58,0.2929758203124999,0.2802806347656249
23,GDX,26.280000686645508,26.0,0.95,0.66,0.4023497265625,0.387701435546875
24,GDXJ,33.7400016784668,33.5,1.22,1.24,0.44775942871093743,0.428716650390625
25,GLD,165.2899932861328,165.0,2.13,1.58,0.15284050292968754,0.13575083007812502
26,HYG,78.04000091552734,78.0,0.68,0.68,0.1147549462890625,0.12134667724609374
27,IAU,33.68000030517578,33.5,0.56,0.4,0.192390888671875,0.165047412109375
28,IBB,131.44000244140625,131.0,2.85,2.4,0.28040270385742183,0.25989509643554687
29,ICLN,22.40999984741211,22.0,0.9,1.05,0.44824770507812495,0.424810439453125
30,IEF,103.58000183105469,103.5,1.82,0.72,0.1211025390625,0.10621010986328125
31,ITB,60.459999084472656,60.0,1.73,1.5,0.32080757324218745,0.3227606787109374
32,IVV,415.5899963378906,414.0,7.98,6.74,0.1941608905029297,0.18396812133789062
33,IWM,190.8000030517578,190.0,3.85,2.98,0.22010057250976559,0.22754678710937498
34,IYR,98.55000305175781,98.5,1.19,2.1,0.20069158691406247,0.198250205078125
35,JDST,11.970000267028809,11.0,3.01,0.35,1.2851598242187499,0.8203142968749999
36,JETS,18.260000228881836,18.0,0.63,0.36,0.367193828125,0.34570966796874997
37,JNUG,36.369998931884766,36.0,2.04,4.16,0.8447281152343749,0.851563984375
38,KRE,64.04000091552734,64.0,1.18,1.16,0.8667005517578125,0.38794557373046873
39,KWEB,28.549999237060547,28.5,1.09,1.11,0.5048877636718749,0.49121602539062503
40,LABD,17.670000076293945,16.0,3.22,0.55,1.1054732226562503,1.1777384863281248
41,LABU,12.079999923706055,12.0,1.16,1.1,1.236331943359375,1.2148476757812499
42,LQD,113.0199966430664,113.0,0.76,0.91,0.12574116455078127,0.11548736083984376
43,MJ,6.070000171661377,6.0,0.3,0.25,0.6132851171875001,0.6015664843750002
44,MSOS,11.729999542236328,11.5,0.55,0.64,0.7480493945312501,0.7539087109375
45,NUGT,31.100000381469727,31.0,1.8,2.0,0.752932158203125,0.7631859619140625
46,OIH,225.1999969482422,225.0,9.4,8.53,0.5118457019042968,0.49487809814453126
47,QQQ,321.75,321.0,6.58,5.99,0.24481956359863283,0.25489026367187506
48,SARK,49.16999816894531,49.0,2.3,2.0,0.5581098876953126,0.5566450585937501
49,SDS,41.65999984741211,41.5,1.79,1.25,0.37500625,0.37793590820312495
50,SILJ,9.9399995803833,9.5,0.54,0.28,0.58789474609375,0.5742230078125
51,SLV,18.329999923706055,18.0,0.58,0.22,0.2617261328125,0.2617261328125
52,SMH,243.6199951171875,242.5,6.33,5.43,0.33301448242187504,0.32092964233398436
53,SOXL,21.559999465942383,21.5,1.64,1.59,0.9580082324218748,0.95507857421875
54,SOXS,35.650001525878906,35.0,3.0,2.25,0.9570316796874999,0.9570316796874999
55,SPXU,15.140000343322754,15.0,0.73,0.5,0.5195360546875,0.5371140039062501
56,SPY,413.4700012207031,413.0,5.89,5.68,0.1759725958251953,0.18378501770019529
57,SQQQ,37.380001068115234,37.0,2.33,1.87,0.7299831689453125,0.7387721435546875
58,SSO,53.560001373291016,53.5,1.4,1.62,0.38721315917968746,0.37793590820312495
59,SVXY,54.33000183105469,54.0,0.84,1.0,0.25440198730468755,0.24976336181640624
60,TAN,84.7699966430664,84.0,2.84,5.4,0.48560084716796875,0.46582565429687506
61,TBT,24.989999771118164,24.5,0.87,0.51,0.37695935546875,0.387701435546875
62,TLT,116.47000122070312,116.0,2.17,1.26,0.2043536596679687,0.17993984130859375
63,TNA,45.88999938964844,45.0,2.84,2.15,0.6645541357421877,0.6547886083984377
64,TQQQ,35.290000915527344,35.0,2.17,1.85,0.7368190380859375,0.725588681640625
65,TZA,31.90999984741211,31.0,2.26,1.2,0.64648791015625,0.659183095703125
66,UCO,32.97999954223633,32.5,4.1,1.5,0.82226740234375,0.8339860351562498
67,UNG,27.56999969482422,27.5,1.78,1.66,0.7861349511718749,0.7695335546875001
68,UPRO,45.18000030517578,45.0,1.89,2.2,0.5351608984375,0.5219774365234374
69,URA,21.329999923706055,21.0,0.9,0.56,0.499028447265625,0.48633326171875
70,USO,71.54000091552734,71.0,2.58,2.13,0.44385321777343745,0.436529072265625
71,UUP,28.5,28.5,0.57,0.24,0.12207909179687501,0.11231356445312499
72,UVXY,9.880000114440918,9.5,0.94,0.57,1.01953615234375,0.9179695703125
73,VIXY,14.140000343322754,14.0,0.7,0.45,0.52539537109375,0.51562984375
74,VXX,21.5,21.5,0.79,1.0,0.3398503515625,0.5898478515625001
75,WEAT,8.15999984741211,8.0,0.34,0.2,0.49609878906250005,0.5117236328125
76,XBI,92.30000305175781,92.0,3.05,2.85,0.4304256176757813,0.424810439453125
77,XHB,64.12000274658203,64.0,1.49,1.5,0.2876047802734374,0.43164630859375
78,XLB,77.11000061035156,77.0,1.3,1.5,0.3813538427734374,0.21680470703125
79,XLC,57.09000015258789,57.0,1.07,1.44,0.393560751953125,0.3354558642578125
80,XLE,73.08000183105469,73.0,2.08,1.92,0.37500625,0.37329728271484375
81,XLF,33.689998626708984,33.5,0.67,0.46,0.22852333984375,0.21680470703125
82,XLI,96.12000274658203,96.0,1.37,1.41,0.6518589501953126,0.241218525390625
83,XLK,147.02000427246094,147.0,2.54,3.5,0.43457596679687505,0.43628493408203123
84,XLP,74.63999938964844,74.5,0.71,0.7,0.14722532470703126,0.17993984130859375
85,XLU,74.2300033569336,74.0,1.11,1.07,0.249030947265625,0.242195078125
86,XLV,131.4499969482422,131.0,1.91,1.63,0.4606987524414063,0.22901161621093752
87,XLY,164.30999755859375,164.0,3.8,3.67,0.4480035668945312,0.34339035522460937
88,XME,48.470001220703125,48.0,1.61,1.9,0.41211525390625,0.41797457031249996
89,XOP,129.05999755859375,129.0,4.77,4.51,0.4732718688964844,0.4594780615234375
90,XRT,66.91000366210938,66.5,1.82,1.67,0.5183153637695312,0.4892629199218751
91,YINN,67.55000305175781,67.0,4.5,3.63,0.7939473730468749,0.8037129003906249
