,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,40.369998931884766,40.0,0.7250000000000001,0.45,0.29004616210937495,0.32520206054687495
1,ARKF,18.489999771118164,18.0,0.8500000000000001,0.35,0.6132851171875001,0.6015664843750002
2,ARKG,37.7400016784668,37.5,1.2999999999999998,1.05,0.6113320117187502,0.6064492480468751
3,ARKK,44.599998474121094,44.5,1.435,1.34,0.6074258007812501,0.6098671826171876
4,ASHR,30.1200008392334,30.0,0.38,0.255,0.23242955078125,0.20606262695312497
5,BITO,13.170000076293945,13.0,0.575,0.43,0.726565234375,0.7617211328125001
6,BKLN,21.040000915527344,21.0,0.125,0.15,0.16602396484375004,0.2500075
7,DIA,322.2799987792969,322.0,2.995,3.4000000000000004,0.17652190673828128,0.21778125976562498
8,DUST,23.600000381469727,23.5,1.05,0.925,0.8300798242187499,0.8085956640624999
9,EEM,39.0,39.0,0.7050000000000001,0.375,0.252937158203125,0.20508607421874997
10,EFA,62.439998626708984,62.0,0.9750000000000001,0.5349999999999999,0.25489026367187506,0.245124736328125
11,EMB,86.12999725341797,86.0,0.8,0.675,0.18262536132812499,0.18457846679687498
12,ERX,57.84000015258789,57.0,2.6,1.775,0.7334011035156249,0.7387721435546875
13,EWJ,53.06999969482422,53.0,0.61,0.53,0.22266402343749997,0.21875781249999998
14,EWU,29.31999969482422,29.0,0.55,0.25,0.282233740234375,0.295905478515625
15,EWW,46.65999984741211,46.5,0.625,0.45,0.25879647460937505,0.242195078125
16,EWY,55.849998474121094,55.5,2.125,0.625,0.58789474609375,0.30322962402343745
17,EWZ,31.489999771118164,31.0,0.915,0.43,0.4101621484375,0.41699801757812494
18,FAS,79.18000030517578,79.0,3.115,2.84,0.7480493945312501,0.7241238525390624
19,FAZ,21.329999923706055,21.0,0.925,0.6,0.6914093359375001,0.6962920996093751
20,FEZ,34.59000015258789,34.5,0.55,0.525,0.313483427734375,0.36426416992187505
21,FXE,92.73999786376953,92.5,0.7,0.45,0.1313563427734375,0.1294032373046875
22,FXI,29.3700008392334,29.0,0.7,0.315,0.3437565625,0.33008482421874996
23,GDX,25.100000381469727,25.0,0.5700000000000001,0.47,0.41211525390625,0.41211525390625
24,GDXJ,31.139999389648438,31.0,0.81,0.6799999999999999,0.476567734375,0.49023947265625006
25,GLD,159.82000732421875,159.5,1.455,1.06,0.1596763720703125,0.1511315356445313
26,HYG,75.80999755859375,75.5,0.75,0.44999999999999996,0.161141201171875,0.15821154296875
27,IAU,32.58000183105469,32.5,0.3,0.2,0.18555501953124998,0.17285983398437502
28,IBB,128.39999389648438,128.0,2.1,1.7000000000000002,0.3039620385742187,0.3042061767578125
29,ICLN,22.93000030517578,22.5,0.75,0.3,0.4804739453125,0.46289599609375004
30,IEF,99.69000244140625,99.5,0.665,0.45,0.1215908154296875,0.1157314990234375
31,ITB,57.65999984741211,57.5,1.125,0.925,0.379889013671875,0.366217275390625
32,IVV,408.760009765625,407.0,5.2,3.75,0.23987576538085933,0.231452998046875
33,IWM,187.39999389648438,187.0,2.785,2.51,0.2710033837890625,0.2836985693359374
34,IYR,97.31999969482422,97.0,1.385,1.03,0.25220474365234374,0.24414818359375
35,JDST,13.430000305175781,13.0,0.9,0.47500000000000003,0.9804689453125001,0.9882813671875
36,JETS,17.90999984741211,17.5,0.595,0.16999999999999998,0.40820904296875,0.38281867187499996
37,JNUG,30.09000015258789,30.0,1.5,1.35,0.94726615234375,0.9082040429687499
38,KRE,64.05000305175781,64.0,0.875,0.815,0.282233740234375,0.27930408203124996
39,KWEB,28.40999984741211,28.0,0.865,0.44999999999999996,0.46094289062500005,0.454107021484375
40,LABD,18.700000762939453,18.0,1.7000000000000002,1.025,1.408206083984375,1.4375028125
41,LABU,9.930000305175781,9.5,0.925,0.5,1.3867218164062498,1.3984405078125
42,LQD,108.37999725341797,108.0,0.9850000000000001,0.53,0.1511315356445313,0.1362391064453125
43,MJ,5.829999923706055,5.5,0.425,0.1,0.7656273437500001,0.789064609375
44,MSOS,12.520000457763672,12.5,0.425,0.375,0.648441015625,0.6015664843750002
45,NUGT,27.899999618530273,27.5,1.325,0.925,0.7861349511718749,0.7861349511718749
46,OIH,246.61000061035156,245.0,7.3,5.4,0.5141650146484374,0.5069629382324219
47,QQQ,307.0899963378906,307.0,4.725,4.595000000000001,0.2995675512695312,0.2970041003417968
48,SARK,53.38999938964844,53.0,1.825,1.4,0.596683720703125,0.5835002587890624
49,SDS,42.81999969482422,42.5,1.1,0.825,0.4726615234375,0.48242705078125003
50,SILJ,9.470000267028809,9.0,0.55,0.125,0.523442265625,0.6445348046875
51,SLV,17.31999969482422,17.0,0.45999999999999996,0.135,0.32031929687499994,0.3086006640625
52,SMH,216.86000061035156,215.0,5.125,3.325,0.3807434973144531,0.38623660644531244
53,SOXL,14.649999618530273,14.5,0.9299999999999999,0.755,1.1445355273437499,1.111332568359375
54,SOXS,45.27000045776367,45.0,2.8,2.525,1.154301103515625,1.15234798828125
55,SPXU,15.680000305175781,15.5,0.625,0.44999999999999996,0.6640658593750002,0.6718782812500002
56,SPY,406.6000061035156,406.0,4.515000000000001,5.154999999999999,0.20319400329589843,0.2629468237304688
57,SQQQ,41.84000015258789,41.5,2.065,1.78,0.8876964355468748,0.913086806640625
58,SSO,51.43000030517578,51.0,1.425,0.9750000000000001,0.48633326171875,0.47852083984375
59,SVXY,54.56999969482422,54.5,0.85,0.8,0.34570966796874997,0.3530338134765625
60,TAN,87.79000091552734,87.5,2.15,1.9749999999999999,0.4687553125,0.4892629199218751
61,TBT,28.639999389648438,28.5,0.725,0.565,0.463872548828125,0.450200810546875
62,TLT,108.30999755859375,108.0,1.42,1.0350000000000001,0.2329178271484375,0.21851367431640623
63,TNA,42.38999938964844,42.0,1.94,1.55,0.805666005859375,0.805666005859375
64,TQQQ,29.84000015258789,29.5,1.545,1.1749999999999998,0.9023447265625,0.8828136718749999
65,TZA,32.779998779296875,32.5,1.51,1.225,0.8183611914062499,0.815431533203125
66,UCO,32.13999938964844,32.0,1.6,1.425,0.9326178613281251,0.911133701171875
67,UNG,27.889999389648438,27.5,1.3050000000000002,0.82,0.7763694238281251,0.70898728515625
68,UPRO,42.15999984741211,42.0,1.525,1.375,0.6709017285156251,0.6757844921875001
69,URA,23.860000610351562,23.5,0.9,0.47500000000000003,0.5820354296875,0.5273484765625001
70,USO,71.0999984741211,71.0,1.88,1.7650000000000001,0.5034229345703125,0.508793974609375
71,UUP,29.190000534057617,29.0,0.315,0.1,0.1562584375,0.127938408203125
72,UVXY,9.350000381469727,9.0,0.58,0.28500000000000003,0.8085956640624999,0.9335944140625
73,VIXY,13.760000228881836,13.5,0.525,0.3,0.5468795312500001,0.5976602734375001
74,VXX,18.469999313354492,18.0,0.605,0.31,0.39453730468750003,0.5468795312500001
75,WEAT,8.8100004196167,8.5,0.42500000000000004,0.075,0.5390671093750001,0.6289099609375001
76,XBI,88.01000213623047,88.0,2.16,2.125,0.48779809082031256,0.48779809082031256
77,XHB,62.060001373291016,62.0,1.125,1.075,0.40039662109375,0.639652041015625
78,XLB,78.06999969482422,78.0,2.4,2.4,0.5927775097656252,0.6103554589843752
79,XLC,55.619998931884766,55.5,2.5,0.725,0.8588881298828125,0.47852083984375
80,XLE,80.5999984741211,80.0,1.825,1.245,0.3803772900390625,0.3852600537109374
81,XLF,34.36000061035156,34.0,0.655,0.3,0.27930408203124996,0.26758544921875
82,XLI,95.29000091552734,95.0,1.42,0.84,0.4792532543945312,0.34326828613281246
83,XLK,137.1999969482422,137.0,1.605,1.9749999999999999,0.40332627929687503,0.372076591796875
84,XLP,73.9800033569336,73.5,0.825,0.355,0.21143366699218746,0.1948322705078125
85,XLU,77.37999725341797,77.0,0.935,0.5549999999999999,0.22217574707031246,0.21973436523437498
86,XLV,130.5,130.5,1.6099999999999999,1.03,0.25952888916015626,0.28321029296874994
87,XLY,164.47999572753906,164.0,3.05,2.545,0.39331661376953125,0.3969786865234375
88,XME,50.58000183105469,50.5,1.0,1.075,0.48730981445312505,0.57617611328125
89,XOP,143.2100067138672,143.0,3.75,3.425,0.5114794946289063,0.4924367163085938
90,XRT,66.01000213623047,66.0,1.315,1.18,0.43115803222656257,0.45752495605468757
91,YINN,60.81999969482422,60.0,3.5,2.475,0.9951172363281251,0.9282233740234375
