,symbol,last_price,put_strike,call_strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,38.849998474121094,38.0,38.5,0.825,0.3,0.29395237304687494,0.2880930566406249
1,ARKF,20.270000457763672,20.0,20.0,0.8,0.55,0.5205126074218749,0.5371140039062501
2,ARKG,40.459999084472656,40.0,40.0,1.5499999999999998,1.1,0.5185595019531251,0.5224657128906249
3,ARKK,49.93000030517578,49.5,49.5,1.96,1.49,0.5576216113281252,0.5449264257812501
4,ASHR,31.559999465942383,31.5,31.5,0.42000000000000004,0.365,0.21192194335937498,0.21192194335937498
5,BITO,14.970000267028809,14.5,14.5,0.835,0.405,0.6171913281250001,0.6621127539062501
6,BKLN,21.440000534057617,21.0,21.0,0.325,0.1,0.25196060546875,0.28613995117187496
7,DIA,333.760009765625,333.0,333.0,2.965,2.64,0.12409323181152344,0.1448449774169922
8,DUST,21.510000228881836,21.5,21.5,1.025,0.9750000000000001,0.7578149218750001,0.72851833984375
9,EEM,40.63999938964844,40.5,40.5,0.48,0.335,0.16797707031250003,0.1601646484375
10,EFA,66.26000213623047,66.0,66.0,0.76,0.5349999999999999,0.157234990234375,0.16700051757812504
11,EMB,89.48999786376953,89.0,89.0,0.915,0.62,0.1211025390625,0.17090672851562502
12,ERX,54.470001220703125,54.0,54.0,2.475,1.85,0.657229990234375,0.6113320117187502
13,EWJ,56.29999923706055,56.0,56.0,0.72,0.415,0.17285983398437502,0.17285983398437502
14,EWU,31.079999923706055,31.0,31.0,0.375,0.3,0.20996883789062498,0.20020331054687499
15,EWW,47.790000915527344,47.5,47.5,0.8,0.47500000000000003,0.2329178271484375,0.229499892578125
16,EWY,61.29999923706055,61.0,61.0,1.05,0.675,0.2461012890625,0.2329178271484375
17,EWZ,30.829999923706055,30.5,30.5,0.7949999999999999,0.42000000000000004,0.33887379882812496,0.30762411132812495
18,FAS,85.08999633789062,85.0,85.0,2.6550000000000002,2.785,0.5378464184570313,0.5312546875
19,FAZ,20.469999313354492,20.0,20.0,0.925,0.425,0.523442265625,0.56055126953125
20,FEZ,37.040000915527344,37.0,37.0,0.47500000000000003,0.5,0.22852333984375,0.2461012890625
21,FXE,95.2699966430664,95.0,95.0,0.6499999999999999,0.32499999999999996,0.09302664794921875,0.07935490966796876
22,FXI,30.06999969482422,30.0,30.0,0.525,0.45999999999999996,0.26758544921875,0.273444765625
23,GDX,26.639999389648438,26.5,26.5,0.705,0.56,0.38867798828125,0.38281867187499996
24,GDXJ,33.66999816894531,33.5,33.5,0.9550000000000001,0.76,0.428716650390625,0.4101621484375
25,GLD,166.36000061035156,166.0,166.0,1.5550000000000002,1.11,0.132821171875,0.12415426635742188
26,HYG,78.23999786376953,78.0,78.0,0.6699999999999999,0.45999999999999996,0.1167080517578125,0.12500875
27,IAU,33.900001525878906,33.5,33.5,0.55,0.1,0.17285983398437502,0.14649291015625
28,IBB,131.2899932861328,131.0,131.0,2.2249999999999996,2.0,0.26197027099609377,0.27295648925781246
29,ICLN,23.280000686645508,23.0,23.0,0.7,0.4,0.414068359375,0.39942006835937505
30,IEF,103.25,103.0,103.0,0.71,0.395,0.0971769970703125,0.08301698242187502
31,ITB,61.97999954223633,61.5,61.5,1.325,0.925,0.295905478515625,0.31690136230468746
32,IVV,422.6000061035156,422.0,420.0,5.65,3.9000000000000004,0.1736532830810547,0.1774374249267578
33,IWM,196.52999877929688,196.0,196.0,2.8499999999999996,2.355,0.21033504516601562,0.21289849609375
34,IYR,101.05999755859375,101.0,101.0,1.08,1.0350000000000001,0.17383638671875,0.17701018310546873
35,JDST,11.979999542236328,11.5,11.5,,0.375,0.0,0.7949239257812499
36,JETS,18.604999542236328,18.5,18.5,0.41000000000000003,0.29500000000000004,0.32227240234374993,0.31055376953124997
37,JNUG,36.15999984741211,36.0,36.0,1.875,1.7999999999999998,0.7939473730468749,0.8320329296874999
38,KRE,66.56999969482422,66.5,66.5,0.935,0.88,0.22412885253906245,0.22657023437499998
39,KWEB,28.709999084472656,28.5,28.5,0.9099999999999999,0.685,0.463872548828125,0.45215391601562505
40,LABD,18.15999984741211,18.0,18.0,1.525,1.325,1.2773473632812498,1.2412147314453121
41,LABU,11.390000343322754,11.0,11.0,1.1,0.7,1.2734411328124997,1.2578162109375
42,LQD,112.93499755859375,112.5,112.5,1.0050000000000001,0.565,0.12549702636718751,0.11890529541015624
43,MJ,6.156400203704834,6.0,6.0,0.32499999999999996,0.125,0.6250037500000001,0.507817421875
44,MSOS,12.085000038146973,12.0,12.0,0.55,0.55,0.6718782812500002,0.7851583984375
45,NUGT,31.920000076293945,31.5,31.5,1.65,1.3,0.72070591796875,0.75586181640625
46,OIH,239.39999389648438,237.5,237.5,7.550000000000001,5.35,0.44910218872070307,0.42896078857421877
47,QQQ,324.0799865722656,324.0,324.0,4.43,4.48,0.21674367248535154,0.22315229980468748
48,SARK,48.77000045776367,48.5,48.5,1.7999999999999998,1.575,0.5454147021484376,0.56055126953125
49,SDS,40.310001373291016,40.0,40.0,0.9750000000000001,0.6000000000000001,0.352545537109375,0.31641308593749995
50,SILJ,9.980199813842773,9.5,9.5,0.65,0.125,0.5898478515625001,0.5039112109375
51,SLV,18.68000030517578,18.5,18.5,0.39,0.185,0.25879647460937505,0.23242955078125
52,SMH,238.6300048828125,237.5,237.5,5.25,4.075,0.31604687866210934,0.3147041186523437
53,SOXL,19.760000228881836,19.5,19.5,1.3,0.99,0.9492192578124999,0.9082040429687499
54,SOXS,37.38999938964844,37.0,37.0,2.3,2.05,0.901368173828125,0.9619144433593749
55,SPXU,14.390000343322754,14.0,14.0,0.6799999999999999,0.26,0.51562984375,0.5390671093750001
56,SPY,420.29998779296875,420.0,420.0,4.035,4.21,0.14771360107421877,0.16602396484375004
57,SQQQ,36.34000015258789,36.0,36.0,1.725,1.26,0.6835969140625001,0.6289099609375001
58,SSO,55.27000045776367,55.0,55.0,1.175,0.9750000000000001,0.32129584960937496,0.34180345703125
59,SVXY,55.369998931884766,55.0,55.0,0.9750000000000001,0.55,0.2612378564453125,0.2524488818359375
60,TAN,87.77999877929688,87.5,87.5,2.6,,0.4931691308593751,0.0
61,TBT,25.860000610351562,25.5,25.5,0.755,0.39,0.36817038085937503,0.362311064453125
62,TLT,114.38999938964844,114.0,114.0,1.46,0.99,0.18116053222656248,0.16700051757812504
63,TNA,49.810001373291016,49.0,49.0,2.405,1.565,0.637698935546875,0.6279334082031252
64,TQQQ,35.95000076293945,35.0,35.0,1.9449999999999998,1.11,0.63867548828125,0.692385888671875
65,TZA,29.079999923706055,29.0,29.0,1.17,1.115,0.6210975390625001,0.6347692773437501
66,UCO,37.39500045776367,37.0,37.0,1.9749999999999999,1.5499999999999998,0.7602563037109377,0.747072841796875
67,UNG,30.100000381469727,30.0,30.0,1.48,1.415,0.7597680273437502,0.778322529296875
68,UPRO,47.369998931884766,47.0,47.0,1.525,1.325,0.4760794580078125,0.508793974609375
69,URA,21.540000915527344,21.5,21.5,0.6000000000000001,0.55,0.46680220703125,0.459966337890625
70,USO,76.26000213623047,76.0,76.0,2.005,1.695,0.40430283203125,0.39990834472656256
71,UUP,28.1299991607666,28.0,28.0,0.235,0.08499999999999999,0.100594931640625,0.08301698242187502
72,UVXY,9.260000228881836,9.0,9.0,0.615,0.35,0.8281267187499999,0.8203142968749999
73,VIXY,13.579999923706055,13.5,13.5,0.5,0.35,0.5410202148437502,0.51758294921875
74,VXX,21.69499969482422,21.5,21.5,0.565,0.545,0.38867798828125,0.5498091894531252
75,WEAT,8.425000190734863,8.0,8.0,0.475,0.07500000000000001,0.4414118359375,0.5039112109375
76,XBI,90.77999877929688,90.0,90.0,2.795,2.0300000000000002,0.432622861328125,0.43286699951171875
77,XHB,65.48999786376953,65.0,65.0,1.375,0.8500000000000001,0.2910227148437499,0.2758861474609374
78,XLB,79.62000274658203,79.0,79.5,0.95,0.65,0.188484677734375,0.20752745605468748
79,XLC,58.540000915527344,58.0,58.5,0.8,0.6,0.24024197265624997,0.25879647460937505
80,XLE,77.94000244140625,77.5,77.5,1.775,1.32,0.3266668896484375,0.3227606787109374
81,XLF,34.9901008605957,34.5,34.5,0.705,0.20500000000000002,0.198250205078125,0.188484677734375
82,XLI,98.37000274658203,98.0,98.0,1.2349999999999999,0.8300000000000001,0.179695703125,0.1713950048828125
83,XLK,147.64999389648438,147.0,147.0,2.445,1.6400000000000001,0.24805439453125,0.21436332519531248
84,XLP,74.91000366210938,74.5,74.5,0.79,0.505,0.1289149609375,0.15528188476562502
85,XLU,75.5,75.5,75.0,1.02,0.75,0.16407085937500002,0.16700051757812504
86,XLV,131.86000061035156,131.5,131.5,1.475,1.005,0.1662681030273438,0.149422568359375
87,XLY,166.16000366210938,166.0,166.0,2.87,2.745,0.2786937365722656,0.27967028930664056
88,XME,51.45000076293945,51.0,51.0,1.4500000000000002,0.925,0.40918559570312496,0.37793590820312495
89,XOP,139.02000427246094,139.0,139.0,3.675,3.425,0.43530838134765626,0.4089414575195312
90,XRT,70.2699966430664,70.0,70.0,1.73,1.475,0.38281867187499996,0.38281867187499996
