,symbol,last_price,strike,atm_call_last,atm_put_last,atm_call_IV,atm_put_IV
0,AMLP,39.92499923706055,38.5,1.175,0.35,0.3188544677734374,0.29883513671874995
1,ARKF,18.530000686645508,18.5,0.8,0.8500000000000001,0.524418818359375,0.57812921875
2,ARKG,36.380001068115234,36.0,1.675,1.4500000000000002,0.5048877636718749,0.5585981640625001
3,ARKK,44.814998626708984,44.5,2.135,1.915,0.5468795312500001,0.5732464550781251
4,ASHR,30.75,30.5,0.615,0.385,0.20801573242187496,0.21192194335937498
5,BITO,13.149999618530273,13.0,0.785,0.685,0.6699251757812501,0.71679970703125
6,BKLN,21.184999465942383,21.0,0.175,0.225,0.1445398046875,0.3154365332031249
7,DIA,337.135009765625,337.0,4.2,3.9000000000000004,0.15338981384277345,0.14740842834472656
8,DUST,23.760000228881836,23.5,1.575,1.325,0.754885263671875,0.7597680273437502
9,EEM,39.86000061035156,39.5,0.75,0.395,0.18164880859375,0.180672255859375
10,EFA,64.68000030517578,64.5,0.99,0.8500000000000001,0.18311363769531247,0.18531088134765622
11,EMB,86.83000183105469,86.5,5.1,0.9550000000000001,0.6884796777343751,0.17945156494140624
12,ERX,56.66999816894531,56.0,3.5,2.575,0.6928741650390625,0.6364782446289063
13,EWJ,55.630001068115234,55.5,1.135,0.7,0.18506674316406246,0.17432466308593753
14,EWU,30.55500030517578,30.5,0.825,0.45,0.23731231445312498,0.213875048828125
15,EWW,47.529998779296875,47.5,0.825,0.825,0.22754678710937498,0.24073024902343748
16,EWY,58.845001220703125,57.5,2.7,0.55,0.2802806347656249,0.24414818359375
17,EWZ,31.079999923706055,31.0,0.835,0.78,0.33008482421874996,0.33447931152343746
18,FAS,84.5250015258789,84.0,4.275,3.7,0.5883830224609375,0.5810588769531251
19,FAZ,20.467199325561523,20.0,1.175,0.7,0.5644574804687501,0.559574716796875
20,FXE,92.73400115966797,92.0,0.8999999999999999,0.45,0.11036045898437499,0.10913976806640624
21,FXI,29.165000915527344,29.0,0.6950000000000001,0.535,0.2695385546875,0.26758544921875
22,GDX,25.264999389648438,25.0,0.905,0.67,0.383795224609375,0.39649041015625003
23,GDXJ,31.349899291992188,31.0,1.22,0.89,0.418951123046875,0.42676354492187507
24,GLD,162.75799560546875,162.5,1.9649999999999999,1.66,0.14051152465820313,0.13660531372070314
25,HYG,76.98999786376953,76.5,1.035,0.85,0.145516357421875,0.19654123779296873
26,IAU,33.17499923706055,33.0,0.6,0.35000000000000003,0.2836985693359374,0.2368240380859375
27,IBB,127.7300033569336,127.0,3.05,2.5,0.27368890380859373,0.2913889221191405
28,ICLN,22.524999618530273,22.5,0.6499999999999999,0.625,0.37793590820312495,0.39160764648437496
29,IEF,102.51000213623047,102.5,1.085,0.855,0.10523355712890625,0.10913976806640624
30,ITB,60.209999084472656,60.0,1.475,1.375,0.29688203124999996,0.3193427441406249
