dollar_price_point,count_open,count_high,count_low,count_close,count_sum,count_sum_pct
20.0,27.0,15.0,29.0,27.0,98.0,0.037347560975609755
21.0,24.0,30.0,16.0,23.0,93.0,0.035442073170731704
84.0,17.0,14.0,11.0,15.0,57.0,0.021722560975609755
18.0,17.0,6.0,18.0,16.0,57.0,0.021722560975609755
19.0,11.0,20.0,13.0,13.0,57.0,0.021722560975609755
25.0,12.0,15.0,7.0,13.0,47.0,0.017911585365853657
82.0,9.0,10.0,14.0,12.0,45.0,0.01714939024390244
27.0,12.0,12.0,8.0,12.0,44.0,0.01676829268292683
83.0,13.0,8.0,9.0,11.0,41.0,0.015625
81.0,11.0,6.0,12.0,11.0,40.0,0.01524390243902439
29.0,9.0,8.0,12.0,11.0,40.0,0.01524390243902439
80.0,9.0,9.0,11.0,9.0,38.0,0.014481707317073171
32.0,10.0,13.0,7.0,8.0,38.0,0.014481707317073171
69.0,10.0,7.0,8.0,12.0,37.0,0.014100609756097561
86.0,10.0,10.0,7.0,9.0,36.0,0.013719512195121951
31.0,10.0,9.0,7.0,10.0,36.0,0.013719512195121951
53.0,10.0,9.0,7.0,9.0,35.0,0.013338414634146341
85.0,5.0,13.0,10.0,6.0,34.0,0.012957317073170731
89.0,7.0,12.0,6.0,9.0,34.0,0.012957317073170731
88.0,9.0,5.0,9.0,9.0,32.0,0.012195121951219513
40.0,9.0,4.0,9.0,9.0,31.0,0.011814024390243903
71.0,8.0,8.0,4.0,11.0,31.0,0.011814024390243903
79.0,5.0,11.0,8.0,7.0,31.0,0.011814024390243903
66.0,8.0,5.0,11.0,6.0,30.0,0.011432926829268292
64.0,7.0,7.0,8.0,8.0,30.0,0.011432926829268292
24.0,7.0,4.0,13.0,6.0,30.0,0.011432926829268292
52.0,6.0,8.0,8.0,8.0,30.0,0.011432926829268292
96.0,11.0,7.0,5.0,7.0,30.0,0.011432926829268292
70.0,9.0,8.0,5.0,7.0,29.0,0.011051829268292682
72.0,7.0,10.0,5.0,6.0,28.0,0.010670731707317074
50.0,8.0,4.0,7.0,9.0,28.0,0.010670731707317074
87.0,7.0,9.0,4.0,8.0,28.0,0.010670731707317074
78.0,5.0,4.0,11.0,8.0,28.0,0.010670731707317074
98.0,5.0,13.0,4.0,6.0,28.0,0.010670731707317074
92.0,8.0,7.0,6.0,6.0,27.0,0.010289634146341464
