Available Weeklys - Exchange Traded Products (ETFs and ETNs),,Type
AMLP,ALPS ETF TR ALERIAN MLP,ETF
ARKF,ARK ETF TR FINTECH INNOVA,ETF
ARKG,ARK ETF TR GENOMIC REV ETF,ETF
ARKK,ARK ETF TR INNOVATION ETF,ETF
ASHR,DBX ETF TR XTRACK HRVST CSI,ETF
BITO,PROSHARES TR BITCOIN STRATE,ETF
BKLN,INVESCO EXCH TRADED FD TR II SR LN ETF,ETF
DIA,SPDR DOW JONES INDL AVERAGE ET UT SER 1,ETF
DUST,DIREXION SHS ETF TR DAILY GOLD MINER,ETF
EEM,ISHARES TR MSCI EMG MKT ETF,ETF
EFA,ISHARES TR MSCI EAFE ETF,ETF
EMB,ISHARES TR JPMORGAN USD EMG,ETF
ERX,DIREXION SHS ETF TR DLY ENRGY BULL2X,ETF
EWJ,ISHARES INC MSCI JPN ETF NEW,ETF
EWU,ISHARES TR MSCI UK ETF NEW,ETF
EWW,ISHARES INC MSCI MEXICO ETF,ETF
EWY,ISHARES INC MSCI STH KOR ETF,ETF
EWZ,ISHARES INC MSCI BRAZIL ETF,ETF
FAS,DIREXION SHS ETF TR DLY FIN BULL NEW,ETF
FAZ,DIREXION SHS ETF TR DAILY FINL BEAR,ETF
FEZ,SPDR INDEX SHS FDS EURO STOXX 50,ETF
FXE,INVESCO CURRENCYSHARES EURO TR EURO SHS,ETF
FXI,ISHARES TR CHINA LG-CAP ETF,ETF
GDX,VANECK ETF TRUST GOLD MINERS ETF,ETF
GDXJ,VANECK ETF TRUST JUNIOR GOLD MINE,ETF
GLD,SPDR GOLD TR GOLD SHS,ETF
HYG,ISHARES TR IBOXX HI YD ETF,ETF
IAU,ISHARES GOLD TR ISHARES NEW,ETF
IBB,ISHARES TR ISHARES BIOTECH,ETF
ICLN,ISHARES TR GL CLEAN ENE ETF,ETF
IEF,ISHARES TR 7-10 YR TRSY BD,ETF
ITB,ISHARES TR US HOME CONS ETF,ETF
IVV,ISHARES TR CORE S&P500 ETF,ETF
IWM,ISHARES TR RUSSELL 2000 ETF,ETF
IYR,ISHARES TR U.S. REAL ES ETF,ETF
JDST,DIREXION SHS ETF TR DLY JR GOLD 2X,ETF
JETS,ETF SER SOLUTIONS US GLB JETS,ETF
JNUG,DIREXION SHS ETF TR DAILY JR GLD MIN,ETF
KRE,SPDR SER TR S&P REGL BKG,ETF
KWEB,KRANESHARES TR CSI CHI INTERNET,ETF
LABD,DIREXION SHS ETF TR DAILY S&P BIOTEC,ETF
LABU,DIREXION SHS ETF TR SP BIOTCH BL NEW,ETF
LQD,ISHARES TR IBOXX INV CP ETF,ETF
MJ,ETF MANAGERS TR ETFMG ALTR HRVST,ETF
MSOS,ADVISORSHARES TR PURE US CANNABIS,ETF
NUGT,DIREXION SHS ETF TR DLY GOLD INDX 2X,ETF
OIH,VANECK ETF TRUST OIL SERVICES ETF,ETF
QQQ,INVESCO QQQ TR UNIT SER 1,ETF
SARK,COLLABORATIVE INVESTMNT SER TR TUTTLE CAP SHORT,ETF
SDS,PROSHARES TR ULTRASHRT S&P500,ETF
SILJ,ETF MANAGERS TR PRIME JUNIR SLVR,ETF
SLV,ISHARES SILVER TR ISHARES,ETF
SMH,VANECK ETF TRUST SEMICONDUCTR ETF,ETF
SOXL,DIREXION SHS ETF TR DLY SCOND 3XBU,ETF
SOXS,DIREXION SHS ETF TR DLY SEMICNDTR BR,ETF
SPXU,PROSHARES TR ULTRAPRO SHORT S,ETF
SPY,SPDR S&P 500 ETF TR TR UNIT,ETF
SQQQ,PROSHARES TR ULTRAPRO SHT QQQ,ETF
SSO,PROSHARES TR PSHS ULT S&P 500,ETF
SVXY,PROSHARES TR II SHT VIX ST TRM,ETF
TAN,INVESCO EXCH TRADED FD TR II SOLAR ETF,ETF
TBT,PROSHARES TR PSHS ULTSH 20YRS,ETF
TLT,ISHARES TR 20 YR TR BD ETF,ETF
TNA,DIREXION SHS ETF TR DLY SMCAP BULL3X,ETF
TQQQ,PROSHARES TR ULTRAPRO QQQ,ETF
TZA,DIREXION SHS ETF TR DAILY SM CP BEAR,ETF
UCO,PROSHARES TR II ULTA BLMBG 2017,ETF
UNG,UNITED STS NAT GAS FD LP UNIT PAR,ETF
UPRO,PROSHARES TR ULTRPRO S&P500,ETF
URA,GLOBAL X FDS GLOBAL X URANIUM,ETF
USO,UNITED STS OIL FD LP UNITS,ETF
UUP,INVESCO DB US DLR INDEX TR BULLISH FD,ETF
UVXY,PROSHARES TR II ULTRA VIX SHORT,ETF
VIXY,PROSHARES TR II VIX SH TRM FUTRS,ETF
VXX,BARCLAYS BANK PLC IPTH SR B S&P,ETF
